#sid	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	 angVel
8	15	0.42	0	0	0.25	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	0.25	0.45	0.02	0	-0.5	0	-1.3158	0	-0.5	0	-1.3158	0	0	0.5	0	0
8	15	0.32	-0.5	0	0.25	0.4	0.02	0	-0.5	0	-1.5625	0	-0.5	0	-1.5625	0	0	0.5	0	0
8	15	0.28	-0.5	0	0.25	0.35	0.02	0	-0.5	0	-1.7857	0	-0.5	0	-1.7857	0	0	0.5	0	0
8	15	0.22	-0.5	0	0.25	0.3	0.02	0	-0.5	0	-2.2727	0	-0.5	0	-2.2727	0	0	0.5	0	0
8	15	0.18	-0.5	0	0.25	0.25	0.02	0	-0.5	0	-2.7778	0	-0.5	0	-2.7778	0	0	0.5	0	0
8	15	0.13	-0.51	0	0.25	0.2	0.02	0	-0.51	0	-3.9231	0	-0.51	0	-3.9231	0	0	0.5	0	0
8	15	0.08	-0.5	0	0.25	0.15	0.02	0	-0.5	0	-6.25	0	-0.5	0	-6.25	0	0	0.5	0	0
8	15	0.02	-0.5	0	0.25	0.1	0.02	0	-0.5	0	-25	0	-0.5	0	-25	0	0	0.5	0	0
15	8	0.02	-0.5	0	-0.25	-0.1	-0.02	0	0.5	0	-25	0	-0.5	0	-25	1	0.02	0.24	0	-0.97
15	8	-0.01	-0.25	1	-0.24	-0.07	-0.02	-0.03	0.25	0	-250	-0.25	0.03	-250	30	1	0.01	0.24	0	-0.94
15	8	0	-0.25	1	-0.24	-0.07	-0.02	-0.07	0.25	0	-250	-0.25	0.07	-250	70	1	0.03	0.22	0	-0.88
15	8	0	-0.25	1	-0.24	-0.08	-0.02	-0.12	0.25	0	-250	-0.25	0.12	-250	120	1	0.05	0.21	0	-0.91
8	15	0.01	-0.24	1	0.26	-0.03	0.02	0.05	-0.29	0	-24	-0.24	0.17	-24	17	0	0	0.5	0	0
15	8	0.01	-0.24	1	-0.25	-0.08	-0.02	-0.17	0.24	0	-24	-0.24	0.17	-24	17	1	0.07	0.11	0	-0.47
