#sid	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	 angVel
8	15	0.42	0	0	0.25	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	0.25	0.45	0.02	0	-0.5	0	-1.3158	0	-0.5	0	-1.3158	0	0	0.5	0	0
8	15	0.32	-0.5	0	0.25	0.4	0.02	0	-0.5	0	-1.5625	0	-0.5	0	-1.5625	0	0	0.5	0	0
8	15	0.28	-0.5	0	0.25	0.35	0.02	0	-0.5	0	-1.7857	0	-0.5	0	-1.7857	0	0	0.5	0	0
8	15	0.22	-0.5	0	0.25	0.3	0.02	0	-0.5	0	-2.2727	0	-0.5	0	-2.2727	0	0	0.5	0	0
8	15	0.18	-0.5	0	0.25	0.25	0.02	0	-0.5	0	-2.7778	0	-0.5	0	-2.7778	0	0	0.5	0	0
8	15	0.13	-0.5	0	0.25	0.2	0.02	0	-0.5	0	-3.8462	0	-0.5	0	-3.8462	0	0	0.5	0	0
8	15	0.08	-0.5	0	0.25	0.15	0.02	0	-0.5	0	-6.25	0	-0.5	0	-6.25	0	0	0.5	0	0
8	15	0.02	-0.5	0	0.25	0.1	0.02	0	-0.5	0	-25	0	-0.5	0	-25	0	0	0.5	0	0
8	15	0	-0.25	1	0.25	0.06	0.02	-0.01	-0.25	0	-250	-0.25	0	-250	0	0	0	0.49	0	0
8	15	-0.01	-0.24	1	0.25	0.03	0.02	-0.01	-0.24	0	-240	-0.24	0.03	-240	30	0	0	0.5	0	0
8	15	0	-0.26	1	0.25	0.01	0.02	0.01	-0.27	0	-260	-0.26	0.08	-260	80	0	0	0.5	0	0
8	15	-0.01	-0.24	1	0.25	-0.02	0.02	0.04	-0.27	0	-240	-0.24	0.13	-240	130	0	0	0.5	0	0
8	15	0	-0.22	1	0.26	-0.04	0.02	0.06	-0.28	0	-220	0.18	-0.23	180	-230	0	0	0.5	0	0
8	15	0	-0.19	1	0.26	-0.07	0.02	0.04	-0.39	0	-190	0.23	-0.32	230	-320	0	0	0.5	0	0
8	15	0.01	0.26	0	0.26	-0.12	0.02	0	-0.5	0	26	0.26	-0.43	26	-43	0	0	0.5	0	0
